sales_id,transaction_id,transaction_date,transaction_time,customer_id,instore_yn,product_id,quantity,unit_price
35,199,1/4/2019,14:24:55,112,Y,41,2,4.25
36,199,1/4/2019,14:24:55,112,Y,79,1,3.75
37,202,1/4/2019,17:26:58,437,N,37,2,3
38,212,1/4/2019,17:03:21,552,N,50,1,2.5
39,219,1/4/2019,15:03:55,194,Y,43,1,3
40,224,1/4/2019,14:54:27,788,N,38,2,3.75
41,226,1/4/2019,16:30:12,533,Y,40,1,3.75
42,227,1/4/2019,12:09:11,521,N,28,2,2
43,238,1/4/2019,15:48:10,512,Y,41,1,4.25
44,247,1/4/2019,19:04:32,178,Y,23,1,2.5
45,248,1/4/2019,14:30:49,416,Y,32,2,3
46,249,1/4/2019,11:15:38,22,Y,52,1,2.5
47,260,1/4/2019,18:14:31,642,Y,61,2,4.75
48,262,1/4/2019,11:52:08,189,N,58,1,3.5
49,268,1/4/2019,16:04:10,223,N,42,2,2.5
50,269,1/4/2019,19:25:00,40,Y,53,1,3
51,270,1/4/2019,11:27:00,344,N,49,1,3
52,276,1/4/2019,16:10:37,401,N,42,2,2.5
53,281,1/4/2019,11:27:06,189,N,31,2,2.2
54,290,1/4/2019,14:58:35,517,N,43,1,3
55,296,1/4/2019,14:49:18,328,Y,39,1,4.25
56,296,1/4/2019,14:49:18,328,Y,79,1,3.75
57,297,1/4/2019,12:05:26,331,N,48,2,2.5
58,298,1/4/2019,18:30:05,414,N,55,2,4
59,317,1/4/2019,19:57:08,567,N,48,1,2.5
60,325,1/4/2019,19:23:13,526,N,22,2,2
61,326,1/4/2019,12:05:31,659,N,52,2,2.5
62,334,1/4/2019,18:12:37,492,N,25,2,2.2
63,337,1/4/2019,18:14:17,655,Y,39,2,4.25
64,344,1/4/2019,17:28:16,500,Y,41,1,4.25
65,357,1/4/2019,15:34:10,530,N,41,2,4.25
66,357,1/4/2019,15:34:10,530,N,76,1,3.5
67,360,1/4/2019,15:30:57,114,Y,38,2,3.75
68,366,1/4/2019,18:33:47,301,N,51,1,3
69,384,1/4/2019,16:04:18,602,Y,54,2,2.5
70,385,1/4/2019,11:32:46,565,Y,31,2,2.2
71,389,1/4/2019,17:00:27,335,Y,29,1,2.5
72,390,1/4/2019,12:20:37,52,Y,25,1,2.2
73,391,1/4/2019,18:05:52,216,N,33,2,3.5
74,391,1/4/2019,18:05:52,216,N,79,1,3.75
75,396,1/4/2019,14:45:31,550,Y,47,1,3
76,405,1/4/2019,19:31:31,481,N,26,2,3
77,411,1/4/2019,12:23:27,516,N,22,2,2
78,413,1/4/2019,16:03:50,508,N,31,1,2.2
79,413,1/4/2019,16:03:50,508,N,76,1,3.5
80,421,1/4/2019,19:52:28,717,N,34,2,2.45
81,422,1/4/2019,14:14:08,641,Y,26,1,3
82,426,1/4/2019,15:45:16,525,N,46,2,2.5
83,427,1/4/2019,19:03:00,384,Y,22,1,2
84,429,1/4/2019,12:56:59,784,Y,47,1,3
85,434,1/4/2019,17:26:52,383,N,26,2,3
86,446,1/4/2019,12:15:02,659,Y,50,2,2.5
87,447,1/4/2019,14:51:44,235,Y,30,1,3
88,451,1/4/2019,12:55:25,319,Y,49,1,3
89,457,1/4/2019,16:17:06,647,N,34,2,2.45
90,459,1/4/2019,18:09:04,320,Y,35,1,3.1
91,461,1/4/2019,17:54:11,326,Y,56,2,2.55
92,470,1/4/2019,18:38:00,122,Y,41,1,4.25
93,474,1/4/2019,18:13:09,453,Y,59,1,4.5
94,480,1/4/2019,16:37:34,185,N,26,2,3
95,483,1/4/2019,19:15:15,393,N,55,1,4
96,490,1/4/2019,16:24:40,392,Y,47,2,3
97,490,1/4/2019,16:24:40,392,Y,74,1,3.5
98,494,1/4/2019,18:25:42,241,N,35,1,3.1
99,495,1/4/2019,18:51:23,777,N,24,2,3
100,497,1/4/2019,16:49:38,407,Y,52,1,2.5
101,501,1/4/2019,16:16:43,659,N,39,1,4.25
102,510,1/4/2019,15:15:17,288,Y,35,2,3.1
103,510,1/4/2019,15:15:17,288,Y,79,1,3.75
104,511,1/4/2019,18:07:54,15,N,26,2,3
105,513,1/4/2019,11:08:11,486,Y,59,1,4.5
106,516,1/4/2019,16:02:33,206,Y,43,2,3
107,516,1/4/2019,16:02:33,206,Y,71,1,3.75
108,523,1/4/2019,14:00:44,315,N,25,1,2.2
109,528,1/4/2019,17:12:46,197,Y,55,2,4
110,529,1/4/2019,19:49:37,329,N,36,1,3.75
111,530,1/4/2019,19:28:35,184,Y,55,1,4
112,534,1/4/2019,18:52:34,474,N,22,1,2
113,537,1/4/2019,12:18:27,706,Y,38,1,3.75
114,539,1/4/2019,17:18:36,384,Y,29,1,2.5
115,541,1/4/2019,19:17:34,537,Y,52,2,2.5
116,546,1/4/2019,18:49:48,128,N,27,1,3.5
117,550,1/4/2019,11:12:39,349,Y,22,2,2
118,554,1/4/2019,17:11:09,245,N,25,1,2.2
119,555,1/4/2019,18:23:47,244,N,32,2,3
120,558,1/4/2019,13:44:48,65,Y,56,1,2.55
121,562,1/4/2019,13:03:13,616,N,43,2,3
122,565,1/4/2019,11:45:11,284,N,51,2,3
123,566,1/4/2019,12:20:16,384,Y,60,2,3.75
124,575,1/4/2019,17:41:55,269,N,55,2,4
125,575,1/4/2019,17:41:55,269,N,71,1,3.75
126,580,1/4/2019,11:15:17,736,N,54,2,2.5
127,585,1/4/2019,17:58:05,385,N,52,2,2.5
128,586,1/4/2019,15:14:19,25,Y,26,2,3
129,588,1/4/2019,12:45:52,200,Y,28,2,2
130,590,1/4/2019,16:39:24,450,Y,36,1,3.75
131,591,1/4/2019,16:32:46,644,N,51,2,3
132,593,1/4/2019,18:18:10,482,N,59,1,4.5
133,599,1/4/2019,12:58:29,83,N,41,1,4.25
134,601,1/4/2019,11:47:57,199,N,23,1,2.5
135,601,1/4/2019,11:47:57,199,N,69,1,3.25
136,602,1/4/2019,16:22:38,425,N,22,1,2
137,610,1/4/2019,15:30:16,222,Y,43,1,3
138,611,1/4/2019,11:17:40,776,N,51,2,3
139,616,1/4/2019,11:30:18,190,N,30,2,3
140,625,1/4/2019,18:34:46,729,Y,25,2,2.2
141,625,1/4/2019,18:34:46,729,Y,77,1,3
142,641,1/4/2019,16:48:51,749,Y,59,1,4.5
143,646,1/4/2019,18:16:21,281,Y,54,2,2.5
144,660,1/4/2019,19:58:29,362,Y,55,1,4
145,675,1/4/2019,15:29:24,271,Y,57,1,3.1
146,675,1/4/2019,15:29:24,271,Y,70,1,3.25
147,676,1/4/2019,11:09:01,289,N,59,1,4.5
148,677,1/4/2019,14:01:57,124,Y,36,2,3.75
149,684,1/4/2019,11:57:17,693,Y,37,2,3
150,691,1/4/2019,17:39:57,602,N,25,1,2.2
151,691,1/4/2019,17:39:57,602,N,77,1,3
152,693,1/4/2019,18:13:19,376,Y,60,2,3.75
153,694,1/4/2019,14:19:10,251,Y,60,1,3.75
154,703,1/4/2019,13:21:23,459,N,38,2,3.75
155,709,1/4/2019,12:30:46,120,N,44,2,2.5
156,711,1/4/2019,18:34:56,136,N,60,2,3.75
157,724,1/4/2019,13:05:56,596,Y,58,1,3.5
158,725,1/4/2019,19:25:42,393,N,55,1,4
159,728,1/4/2019,16:31:22,126,N,51,2,3
160,737,1/4/2019,15:01:21,162,N,34,2,2.45
161,739,1/4/2019,12:46:22,230,Y,56,1,2.55
162,755,1/4/2019,18:43:42,290,Y,25,1,2.2
163,766,1/4/2019,15:09:37,119,Y,22,1,2
164,770,1/4/2019,17:22:29,332,N,58,2,3.5
165,771,1/4/2019,16:38:05,138,Y,35,1,3.1
166,777,1/4/2019,14:35:47,361,N,55,1,4
167,778,1/4/2019,15:10:55,488,N,42,1,2.5
168,780,1/4/2019,14:05:30,222,Y,60,1,3.75
169,782,1/4/2019,18:00:34,141,Y,53,1,3
170,789,1/4/2019,18:31:25,505,N,41,2,4.25
171,790,1/4/2019,12:42:26,139,Y,53,1,3
172,793,1/4/2019,13:09:20,473,N,26,1,3
173,798,1/4/2019,19:29:01,329,Y,44,2,2.5
174,803,1/4/2019,11:26:24,600,N,49,2,3
175,807,1/4/2019,16:47:11,796,N,26,2,3
176,809,1/4/2019,16:51:18,52,N,37,2,3
177,810,1/4/2019,18:51:41,702,Y,28,1,2
178,820,1/4/2019,19:21:29,466,N,51,1,3
179,820,1/4/2019,19:21:29,466,N,74,1,3.5
180,823,1/4/2019,19:32:22,24,Y,47,1,3
181,828,1/4/2019,11:14:07,456,Y,52,1,2.5
182,831,1/4/2019,19:38:46,406,N,55,2,4
183,855,1/4/2019,15:12:22,637,N,24,1,3
184,859,1/4/2019,17:44:28,209,Y,27,2,3.5
185,859,1/4/2019,17:44:28,209,Y,74,1,3.5
186,861,1/4/2019,13:09:03,438,Y,35,1,3.1
187,869,1/4/2019,16:42:12,536,Y,36,2,3.75
188,873,1/4/2019,19:07:26,550,Y,46,1,2.5
189,873,1/4/2019,19:07:26,550,Y,78,1,4.5
190,889,1/4/2019,16:58:31,548,N,45,2,3
191,889,1/4/2019,16:58:31,548,N,70,1,3.25
192,891,1/4/2019,12:12:21,662,Y,34,2,2.45
193,891,1/4/2019,12:12:21,662,Y,71,1,3.75
194,901,1/4/2019,15:09:38,341,Y,29,1,2.5
195,901,1/4/2019,15:09:38,341,Y,71,1,3.75
196,902,1/4/2019,13:23:54,685,N,58,2,3.5
197,917,1/4/2019,19:10:16,631,Y,27,2,3.5
198,919,1/4/2019,19:06:41,675,N,54,1,2.5
199,921,1/4/2019,11:44:31,773,N,56,1,2.55
200,923,1/4/2019,13:44:26,740,N,57,1,3.1
201,924,1/4/2019,12:58:53,743,N,57,2,3.1
202,932,1/4/2019,15:55:09,296,N,44,2,2.5
203,944,1/4/2019,19:25:57,63,Y,50,2,2.5
204,944,1/4/2019,19:25:57,63,Y,69,1,3.25
205,946,1/4/2019,12:04:37,563,N,47,2,3
206,948,1/4/2019,16:18:56,424,N,61,1,4.75
207,960,1/4/2019,14:07:56,382,Y,23,1,2.5
208,964,1/4/2019,12:33:20,608,Y,54,2,2.5
209,968,1/4/2019,18:22:07,497,Y,53,1,3
210,969,1/4/2019,15:19:19,313,N,43,1,3
211,984,1/4/2019,15:17:06,81,N,53,1,3
212,988,1/4/2019,16:58:33,384,Y,37,1,3
213,993,1/4/2019,13:42:10,398,N,43,1,3
214,994,1/4/2019,15:50:59,44,N,39,1,4.25
215,1000,1/4/2019,16:07:20,732,N,23,2,2.5
216,1010,1/4/2019,16:17:52,430,N,29,2,2.5
217,1014,1/4/2019,13:19:36,601,N,23,1,2.5
218,1015,1/4/2019,11:40:26,7,N,52,2,2.5
219,1017,1/4/2019,11:15:33,318,Y,54,1,2.5
220,1018,1/4/2019,19:39:00,467,Y,47,2,3
221,1023,1/4/2019,15:27:11,434,Y,58,2,3.5
222,1033,1/4/2019,14:53:00,781,N,43,1,3
223,1042,1/4/2019,19:45:16,316,N,41,1,4.25
224,1046,1/4/2019,19:38:00,399,N,33,1,3.5
225,1051,1/4/2019,19:04:14,403,Y,29,2,2.5
226,1052,1/4/2019,17:59:05,685,N,48,1,2.5
227,1057,1/4/2019,15:44:32,409,N,44,2,2.5
228,1057,1/4/2019,15:44:32,409,N,78,1,4.5
229,1064,1/4/2019,17:32:16,557,Y,38,2,3.75
230,1065,1/4/2019,12:33:35,231,Y,29,2,2.5
231,1071,1/4/2019,11:36:00,571,N,40,2,3.75
232,1072,1/4/2019,16:20:47,235,Y,41,1,4.25
233,1088,1/4/2019,15:59:51,226,N,50,2,2.5
234,1093,1/4/2019,16:03:30,745,N,34,2,2.45
235,1094,1/4/2019,15:01:50,355,Y,27,1,3.5
236,1095,1/4/2019,13:40:47,177,Y,54,2,2.5
237,1096,1/4/2019,17:15:12,379,N,59,1,4.5
238,1108,1/4/2019,11:36:56,654,Y,55,1,4
239,1114,1/4/2019,17:10:35,428,N,59,1,4.5
240,1116,1/4/2019,17:29:08,402,Y,37,1,3
241,1117,1/4/2019,18:10:03,179,Y,58,1,3.5
242,1120,1/4/2019,14:45:37,536,N,38,1,3.75
243,1123,1/4/2019,12:09:46,299,N,26,2,3
244,1125,1/4/2019,12:50:28,184,Y,32,2,3
245,1145,1/4/2019,12:13:07,328,N,42,1,2.5
246,1146,1/4/2019,17:22:36,574,N,36,1,3.75
247,1151,1/4/2019,13:41:09,337,N,42,2,2.5
248,1167,1/4/2019,17:51:22,5,N,53,1,3
249,1169,1/4/2019,13:52:28,669,Y,56,2,2.55
250,1169,1/4/2019,13:52:28,669,Y,70,1,3.25
251,1182,1/4/2019,19:18:58,80,Y,53,1,3
252,1185,1/4/2019,12:40:00,490,N,37,2,3
253,1185,1/4/2019,12:40:00,490,N,69,1,3.25
254,1187,1/4/2019,12:48:08,567,Y,38,2,3.75
255,1195,1/4/2019,11:50:23,222,Y,36,2,3.75
256,1198,1/4/2019,15:44:22,408,Y,38,2,3.75
257,1201,1/4/2019,16:56:48,85,N,28,1,2
258,1206,1/4/2019,15:52:23,540,N,29,2,2.5
259,1207,1/4/2019,12:36:17,55,N,40,2,3.75
260,1207,1/4/2019,12:36:17,55,N,71,1,3.75
261,1209,1/4/2019,17:29:25,2,Y,46,1,2.5
262,1209,1/4/2019,17:29:25,2,Y,75,1,3.5
263,1210,1/4/2019,19:41:15,135,N,51,1,3
264,1230,1/4/2019,15:27:54,227,N,56,1,2.55
265,1233,1/4/2019,15:42:49,305,N,40,1,3.75
266,1238,1/4/2019,12:43:33,453,Y,29,1,2.5
267,1247,1/4/2019,11:33:29,146,Y,45,1,3
268,1247,1/4/2019,11:33:29,146,Y,74,1,3.5
269,1257,1/4/2019,13:35:04,646,N,30,2,3
270,1261,1/4/2019,14:02:12,770,Y,49,1,3
271,1264,1/4/2019,14:55:34,97,Y,34,2,2.45
272,1271,1/4/2019,12:46:55,434,N,33,1,3.5
273,1271,1/4/2019,12:46:55,434,N,75,1,3.5
274,1278,1/4/2019,14:20:06,181,N,35,2,3.1
275,1279,1/4/2019,12:56:33,247,N,61,1,4.75
276,1285,1/4/2019,15:55:50,3,N,31,2,2.2
277,1286,1/4/2019,15:26:37,606,N,41,2,4.25
278,1288,1/4/2019,17:55:47,603,Y,59,2,4.5
279,1288,1/4/2019,17:55:47,603,Y,70,1,3.25
280,1291,1/4/2019,14:46:03,428,N,44,2,2.5
281,1291,1/4/2019,14:46:03,428,N,77,1,3
282,1293,1/4/2019,11:05:21,447,N,31,2,2.2
283,1296,1/4/2019,14:03:41,730,Y,32,1,3
284,1297,1/4/2019,15:57:47,672,Y,57,2,3.1
285,1298,1/4/2019,16:36:10,189,Y,28,1,2
286,1301,1/4/2019,18:22:53,169,Y,32,1,3
287,1301,1/4/2019,18:22:53,169,Y,79,1,3.75
288,1302,1/4/2019,19:12:14,18,Y,22,1,2
289,1320,1/4/2019,17:37:58,646,Y,31,2,2.2
290,1325,1/4/2019,12:03:43,477,Y,44,1,2.5
291,1332,1/4/2019,13:00:03,377,Y,36,2,3.75
292,1333,1/4/2019,18:25:51,258,Y,61,1,4.75
293,1334,1/4/2019,16:30:37,8,N,33,2,3.5
294,1343,1/4/2019,16:19:17,404,Y,56,1,2.55
295,1352,1/4/2019,14:37:23,369,Y,34,2,2.45
296,1355,1/4/2019,11:01:58,580,Y,38,1,3.75
297,1355,1/4/2019,11:01:58,580,Y,75,1,3.5
298,1359,1/4/2019,14:31:32,429,N,33,2,3.5
299,1362,1/4/2019,12:47:29,11,N,48,1,2.5
300,1364,1/4/2019,16:55:13,365,N,29,1,2.5
301,1364,1/4/2019,16:55:13,365,N,73,1,3.75
302,1367,1/4/2019,14:25:32,51,N,58,2,3.5
303,1371,1/4/2019,14:43:13,373,N,50,2,2.5
304,1380,1/4/2019,15:22:11,725,Y,39,2,4.25
305,1383,1/4/2019,18:42:04,656,Y,60,2,3.75
306,1384,1/4/2019,17:44:04,677,Y,47,2,3
307,1386,1/4/2019,15:36:03,441,N,52,1,2.5
308,1386,1/4/2019,15:36:03,441,N,79,1,3.75
309,1388,1/4/2019,14:17:29,101,N,26,1,3
310,1389,1/4/2019,11:14:45,212,Y,52,2,2.5
311,1391,1/4/2019,17:42:35,199,Y,24,1,3
312,1402,1/4/2019,16:12:12,230,Y,54,1,2.5
313,1402,1/4/2019,16:12:12,230,Y,76,1,3.5
314,1404,1/4/2019,11:40:20,534,Y,61,1,4.75
315,1406,1/4/2019,12:27:46,231,Y,59,1,4.5
316,1407,1/4/2019,19:57:56,448,Y,35,1,3.1
317,1416,1/4/2019,11:59:48,391,N,52,2,2.5
318,1417,1/4/2019,18:49:50,168,N,51,2,3
319,1419,1/4/2019,14:34:35,447,Y,52,2,2.5
320,1419,1/4/2019,14:34:35,447,Y,75,1,3.5
321,1430,1/4/2019,14:13:48,25,Y,61,1,4.75
322,1430,1/4/2019,14:13:48,25,Y,77,1,3
323,1436,1/4/2019,18:52:57,90,Y,59,2,4.5
324,1437,1/4/2019,17:25:45,677,Y,58,2,3.5
325,1447,1/4/2019,18:22:12,70,N,61,2,4.75
326,1459,1/4/2019,14:36:23,581,N,30,2,3
327,1461,1/4/2019,14:07:12,398,N,41,2,4.25
328,1475,1/4/2019,17:10:34,459,Y,27,1,3.5
329,1478,1/4/2019,13:31:51,744,Y,44,2,2.5
330,1480,1/4/2019,18:43:19,795,Y,57,1,3.1
331,1488,1/4/2019,19:41:22,265,N,35,2,3.1
332,1495,1/4/2019,13:04:51,72,N,22,1,2
333,1496,1/4/2019,19:34:12,133,N,48,1,2.5
334,1496,1/4/2019,19:34:12,133,N,70,1,3.25
335,1498,1/4/2019,16:52:57,710,N,45,2,3
336,1513,1/4/2019,19:25:50,448,Y,51,1,3
337,1513,1/4/2019,19:25:50,448,Y,70,1,3.25
338,1516,1/4/2019,19:47:17,414,Y,40,1,3.75
339,1516,1/4/2019,19:47:17,414,Y,78,1,4.5
340,1519,1/4/2019,13:01:30,65,N,39,2,4.25
341,1520,1/4/2019,18:41:01,396,Y,24,1,3
342,1521,1/4/2019,15:49:43,252,N,23,2,2.5
343,1526,1/4/2019,15:56:38,573,Y,42,2,2.5
344,1526,1/4/2019,15:56:38,573,Y,79,1,3.75
345,1539,1/4/2019,16:49:47,558,N,29,1,2.5
346,1552,1/4/2019,18:34:09,601,Y,36,1,3.75
347,1567,1/4/2019,11:58:15,599,N,60,2,3.75
348,1570,1/4/2019,12:30:39,259,N,48,2,2.5
349,1575,1/4/2019,11:41:46,686,Y,57,2,3.1
350,1583,1/4/2019,15:06:21,574,N,37,1,3
351,1587,1/4/2019,12:55:29,44,Y,27,1,3.5
352,1587,1/4/2019,12:55:29,44,Y,70,1,3.25
353,1597,1/4/2019,13:43:18,117,N,54,2,2.5
354,1597,1/4/2019,13:43:18,117,N,69,1,3.25
355,1598,1/4/2019,15:00:59,230,Y,61,2,4.75
356,1598,1/4/2019,15:00:59,230,Y,72,1,3.25
357,1599,1/4/2019,17:20:25,364,Y,43,2,3
358,1599,1/4/2019,17:20:25,364,Y,78,1,4.5
359,1600,1/4/2019,15:05:25,218,N,24,2,3
360,1611,1/4/2019,18:08:53,578,Y,34,2,2.45
361,1614,1/4/2019,18:03:13,210,N,28,1,2
362,1614,1/4/2019,18:03:13,210,N,78,1,4.5
363,1625,1/4/2019,17:17:12,576,Y,23,1,2.5
364,1626,1/4/2019,17:05:44,252,N,36,2,3.75
365,1634,1/4/2019,11:10:58,335,N,46,1,2.5
366,1638,1/4/2019,19:56:17,541,N,27,1,3.5
367,1645,1/4/2019,12:58:54,536,N,44,2,2.5
368,1647,1/4/2019,16:45:00,569,Y,42,1,2.5
369,1658,1/4/2019,16:09:34,418,N,47,1,3
370,1658,1/4/2019,16:09:34,418,N,69,1,3.25
371,1660,1/4/2019,11:35:18,111,N,52,2,2.5
372,1662,1/4/2019,15:18:56,659,Y,61,1,4.75
373,1666,1/4/2019,18:51:07,47,N,35,2,3.1
374,1666,1/4/2019,18:51:07,47,N,78,1,4.5
375,1680,1/4/2019,14:37:39,744,N,24,1,3
376,1680,1/4/2019,14:37:39,744,N,71,1,3.75
377,1683,1/4/2019,16:40:18,536,N,33,1,3.5
378,1685,1/4/2019,14:34:03,247,Y,28,1,2
379,1694,1/4/2019,13:53:04,707,N,38,2,3.75
380,1695,1/4/2019,12:52:27,167,N,35,2,3.1
381,1706,1/4/2019,16:58:56,119,Y,49,2,3
382,1707,1/4/2019,13:24:22,98,Y,47,2,3
383,1710,1/4/2019,13:17:32,785,N,55,2,4
384,1711,1/4/2019,12:21:43,181,Y,42,1,2.5
385,1712,1/4/2019,15:37:52,779,N,39,1,4.25
386,1712,1/4/2019,15:37:52,779,N,73,1,3.75
387,1717,1/4/2019,19:58:52,329,Y,39,1,4.25
388,1719,1/4/2019,11:12:29,607,N,43,1,3
389,1724,1/4/2019,12:18:44,692,Y,49,2,3
390,1725,1/4/2019,13:58:36,246,N,23,1,2.5
391,1729,1/4/2019,15:50:25,541,N,35,1,3.1
392,1737,1/4/2019,19:00:45,60,N,60,2,3.75
393,1737,1/4/2019,19:00:45,60,N,69,1,3.25
394,1739,1/4/2019,18:32:25,697,N,52,2,2.5
395,1742,1/4/2019,18:39:29,678,N,22,1,2
396,1745,1/4/2019,16:58:42,753,Y,58,1,3.5
397,1745,1/4/2019,16:58:42,753,Y,69,1,3.25
398,1747,1/4/2019,11:41:37,42,Y,40,2,3.75
399,1749,1/4/2019,18:21:22,117,N,46,1,2.5
400,1752,1/4/2019,16:43:15,323,Y,37,2,3
401,1753,1/4/2019,13:00:42,645,Y,28,2,2
402,1757,1/4/2019,11:40:10,441,N,32,1,3
403,1759,1/4/2019,11:04:07,507,N,26,1,3
404,1768,1/4/2019,17:41:25,174,N,55,2,4
405,1768,1/4/2019,17:41:25,174,N,76,1,3.5
406,1771,1/4/2019,15:21:53,651,N,33,2,3.5
407,1773,1/4/2019,19:40:09,305,N,44,2,2.5
408,1786,1/4/2019,11:28:50,53,N,32,2,3
409,1790,1/4/2019,14:35:25,711,N,46,1,2.5
410,1807,1/4/2019,15:14:28,320,N,42,1,2.5
411,1811,1/4/2019,12:07:59,161,N,58,1,3.5
412,1817,1/4/2019,13:34:12,352,Y,28,2,2
413,1823,1/4/2019,18:55:19,651,N,56,2,2.55
414,1825,1/4/2019,11:01:48,480,Y,22,1,2
415,1828,1/4/2019,17:22:18,554,Y,34,1,2.45
416,1830,1/4/2019,14:34:04,108,N,35,1,3.1
417,1837,1/4/2019,15:08:28,473,Y,43,2,3
418,1840,1/4/2019,13:35:37,790,Y,38,2,3.75
419,1846,1/4/2019,19:53:42,548,Y,56,1,2.55
420,1852,1/4/2019,15:56:38,737,N,50,2,2.5
421,1852,1/4/2019,15:56:38,737,N,75,1,3.5
422,1854,1/4/2019,18:26:37,631,Y,59,1,4.5
423,1855,1/4/2019,17:59:55,121,N,32,1,3
424,1862,1/4/2019,19:05:47,195,N,33,2,3.5
425,1873,1/4/2019,16:29:36,632,N,27,2,3.5
426,1880,1/4/2019,18:16:26,40,N,56,1,2.55
427,1888,1/4/2019,14:20:08,280,N,42,2,2.5
428,1892,1/4/2019,16:01:29,240,N,26,1,3
429,1892,1/4/2019,16:01:29,240,N,74,1,3.5
430,1894,1/4/2019,11:28:29,248,Y,33,2,3.5
431,1899,1/4/2019,12:23:39,767,N,24,1,3
432,1903,1/4/2019,18:10:23,696,Y,30,1,3
433,1905,1/4/2019,19:53:10,781,N,35,1,3.1
434,1918,1/4/2019,15:12:05,48,Y,55,2,4
435,1920,1/4/2019,12:50:15,652,Y,59,1,4.5
436,1923,1/4/2019,15:30:13,687,Y,58,1,3.5
437,1927,1/4/2019,19:29:07,760,N,38,1,3.75
438,1944,1/4/2019,13:04:22,69,Y,28,1,2
439,1944,1/4/2019,13:04:22,69,Y,71,1,3.75
440,1945,1/4/2019,19:26:53,347,N,42,1,2.5
441,1947,1/4/2019,13:31:00,226,N,57,1,3.1
442,1947,1/4/2019,13:31:00,226,N,77,1,3
443,1949,1/4/2019,12:31:38,674,N,35,2,3.1
444,1954,1/4/2019,13:43:32,778,N,33,2,3.5
445,1960,1/4/2019,18:04:34,104,N,28,1,2
446,1965,1/4/2019,15:26:52,213,Y,36,1,3.75
447,1965,1/4/2019,15:26:52,213,Y,71,1,3.75
448,1967,1/4/2019,18:06:52,444,N,30,2,3
449,1967,1/4/2019,18:06:52,444,N,79,1,3.75
450,1972,1/4/2019,17:40:50,602,N,55,1,4
451,1974,1/4/2019,16:16:59,430,Y,30,2,3
452,1974,1/4/2019,16:16:59,430,Y,76,1,3.5
453,1980,1/4/2019,19:39:40,430,Y,49,1,3
454,1983,1/4/2019,12:42:22,531,Y,22,1,2
455,1985,1/4/2019,16:23:42,364,N,32,2,3
456,2001,1/4/2019,16:35:15,117,Y,59,2,4.5
457,2003,1/4/2019,19:34:48,94,Y,40,1,3.75
458,2006,1/4/2019,11:30:49,526,N,24,2,3
459,2008,1/4/2019,17:15:12,12,Y,37,1,3
460,2008,1/4/2019,17:15:12,12,Y,75,1,3.5
461,2011,1/4/2019,11:57:59,257,Y,50,1,2.5
462,2011,1/4/2019,11:57:59,257,Y,79,1,3.75
463,2024,1/4/2019,18:45:11,414,N,38,2,3.75
464,2028,1/4/2019,18:39:42,753,Y,61,1,4.75
465,2028,1/4/2019,18:39:42,753,Y,78,1,4.5
466,2029,1/4/2019,15:33:24,647,N,57,1,3.1
467,2032,1/4/2019,19:43:29,399,N,54,1,2.5
468,2035,1/4/2019,16:47:51,73,N,38,1,3.75
469,2039,1/4/2019,19:08:56,547,N,60,1,3.75
470,2042,1/4/2019,19:00:27,76,N,43,1,3
471,2047,1/4/2019,16:29:05,729,N,31,2,2.2
472,2049,1/4/2019,19:09:02,524,Y,40,1,3.75
